Prefecture	City	Population	Area	Density	Founded
Aichi	Nagoya	2239464	326.45	6860	1889-10-01
Aichi	Toyohashi	377045	261.35	1443	1906-08-01
Aichi	Okazaki	371380	387.24	959	1916-07-01
Aichi	Ichinomiya	375939	113.91	3300	1921-09-01
Aichi	Seto	132311	111.61	1185	1929-10-01
Aichi	Handa	117927	47.24	2496	1937-10-01
Aichi	Kasugai	300713	92.71	3244	1943-06-01
Aichi	Toyokawa	161595	150.71	1072	1943-06-01
Aichi	Tsushima,Aichi	65646	25.08	2617	1947-03-01
Aichi	Hekinan	73024	35.86	2036	1948-04-05
Aichi	Kariya	145117	50.45	2876	1950-04-01
Aichi	Toyota	420286	918.47	458	1951-03-01
Aichi	Anjo	176046	86.01	2047	1952-05-05
Aichi	Nishio	106643	75.78	1407	1953-12-15
Aichi	Gamagori	82264	56.81	1448	1954-04-01
Aichi	Inuyama	75304	74.97	1004	1954-04-01
Aichi	Tokoname	52837	55.63	950	1954-04-01
Aichi	Konan,Aichi	100064	30.17	3317	1954-06-01
Aichi	Komaki	149060	62.82	2373	1955-01-01
Aichi	Inazawa	137475	79.30	1734	1958-11-01
Aichi	Tokai	106708	43.36	2461	1969-04-01
Aichi	Obu	83097	33.68	2467	1970-09-01
Aichi	Chita	84782	45.43	1866	1970-09-01
Aichi	Chiryu	68216	16.34	4175	1970-12-01
Aichi	Owariasahi	79197	21.03	3766	1970-12-01
Aichi	Takahama	43467	13.00	3344	1970-12-01
Aichi	Iwakura	48042	10.49	4580	1971-12-01
Aichi	Toyoake	69124	23.18	2982	1972-08-01
Aichi	Nisshin	80921	34.90	2319	1994-10-01
Aichi	Tahara	66698	188.81	353	2003-08-20
Aichi	Aisai	65481	66.63	983	2005-04-01
Aichi	Kiyosu	56635	13.31	4255	2005-07-07
Aichi	Shinshiro	51326	499.00	103	2005-10-01
Aichi	Kitanagoya	80112	18.37	4361	2006-03-20
Aichi	Yatomi	43145	48.92	882	2006-04-01
Aichi	Miyoshi	60850	32.11	1900	2010-01-04
Aichi	Ama	86708	27.59	3140	2010-03-22
Akita	Akita	329287	905.67	364	1889-04-01
