一宮	57.5	81.5	113	190	143	212	146.5	119.5	366.5	142.5	84.5	77.5
茶臼山	121	226.5	149.5	269	378	258	160	313.5	514	232	159.5	235.5
名古屋	55	64.5	111	200	145	218.5	170	120	298.5	132.5	78	93
豊田	55	61	121.5	133	137.5	165	131.5	24	295	115.5	79.5	104.5
岡崎	67	70	131.5	134.5	177	152.5	91.5	17.5	319.5	96.5	94.5	108.5
作手	85.5	175	162.5	245.5	368	185.5	126.5	69.5	534	189	118	167
一色	60	64	138	160.5	169.5	197	109	25	294.5	93.5	81.5	95.5
豊橋	56.5	86.5	166.5	160.5	189	207	183.5	28.5	386.5	105	90	96.5
伊良湖	65.5	114.5	154	186.5	180.5	223.5	97.5	15	338.5	117	117	103
田原	56	96	143.5	198	192	234.5	129.5	11	368	134	114	96
稲武	84.5	126.5	108	163	203	175.5	97.5	323.5	363	134	105	145.5
蟹江	50.5	67	90	249.5	138	267.5	189	86	320.5	133.5	72.5	84.5
南知多	55.5	65	118.5	191.5	164.5	215	101	41	319.5	89.5	78	97
小原	67	87.5	129	142	198	179	139.5	116	329	151.5	93	135.5
蒲郡	66.5	95.5	178	142.5	195	168.5	131	12	313.5	93	84.5	108
愛西	56.5	73.5	96.5	241.5	179	289.5	207.5	166.5	396.5	134	88	78
新城	68.5	117.5	190	227.5	267	200	151.5	60.5	379.5	147.5	108.5	140
セントレア	51.5	52.5	80	169	109	235	151	95.5	191	75.5	60.5	88
阿蔵	84	126.5	128	172	253	169.5	125.5	205	490	147.5	110	145.5
大府	55.5	51	97.5	169	131	224	173	81.5	230	100	71.5	102.5
北勢	84	92.5	87.5	281.5	256	374.5	183	75	396.5	155.5	100	88
桑名	56.5	53	79.5	240	134.5	263.5	182	89.5	364.5	119.5	68.5	81
四日市	66.5	48.5	81.5	263.5	170.5	361.5	216.5	134	487	116.5	77.5	82
亀山	57	41.5	56	220.5	151	364.5	169.5	178.5	448	87.5	71	81.5
上野	57	66.5	73.5	143	122.5	251.5	111	142.5	305	52	84.5	89.5
笠取山	25.5	48	44.5	276.5	179.5	435.5	154	175.5	487	117.5	81	103
津	65.5	48.5	82.5	223.5	142.5	305	119	240	323	86.5	70.5	79
名張	64	57	81.5	119.5	126.5	191	111.5	164.5	263	73.5	75	98
小俣	76	89.5	87	173.5	151	201	78.5	106	320.5	116.5	110.5	102.5
粥見	71.5	78.5	75	224	134	263.5	91.5	113.5	361.5	118.5	104.5	80.5
藤坂峠	84	138.5	124	357.5	280	316	150	332.5	478.5	191	212.5	119.5
尾鷲	112	211.5	130.5	594.5	338.5	486	281.5	277	546.5	191	174.5	176.5
鳥羽	126.5	130.5	138.5	294	276.5	311.5	125	183.5	452.5	225	171.5	118.5
宮川	83.5	123.5	84	399	190	296.5	102	322.5	608.5	177	112	82.5
南伊勢	109.5	118	141.5	258	231	273	176.5	145	444.5	180.5	154.5	85
紀伊長島	81.5	145	105	360.5	245.5	363	179.5	316.5	515.5	251	169.5	156.5
白山	75	60.5	77.5	185.5	123	251	95	92.5	370.5	75.5	77.5	100.5
阿児	107.5	120.5	166.5	191	228.5	343	100	95	459	159.5	192	129
御浜	113	154.5	148.5	483.5	310	618	175	245	433	184.5	161	142
熊野新鹿	102.5	166.5	147.5	450.5	431.5	460.5	219	203.5	428.5	155.5	179.5	150.5
神岡	112.5	122	65	161.5	76	145	117	197.5	406	133	94.5	163
高山	103.5	107.5	53.5	199	108.5	159	133.5	131.5	386	126	90	130
船山	114	168	90	248.5	194	259.5	153.5	183.5	510	234	125.5	189.5
萩原	111.5	166	109.5	286.5	197	332.5	243	213	561	228	146	188
八幡	112.5	155	107.5	314.5	247.5	261.5	176.5	375.5	499	250.5	133	184
樽見	146	157.5	109.5	401.5	343.5	294.5	166.5	103.5	578	217	118	172.5
金山	93.5	137.5	112	237.5	179	209.5	207.5	238	473.5	243.5	123.5	169.5
伽藍	77	98	102.5	169	169	218.5	182	149	390	200.5	105.5	125
美濃加茂	73	106.5	128.5	204.5	157.5	222	140.5	119.5	345	183.5	96.5	96.5
恵那	80.5	104.5	106.5	141.5	155	170	130.5	214.5	363	162	95.5	125
中津川	92	104	108.5	151	164	167.5	128	293	343	184	103	136
関ケ原	119	95	87	184.5	201.5	276	293	49	363	142	85.5	114.5
大垣	73	90	108.5	253	189	314	211.5	59	354.5	167	91	75
岐阜	67.5	90.5	107	256	186	271	184.5	108.5	352	178	94.5	92.5
美濃	79	106	100.5	274	196	232	184.5	273	373.5	233.5	108.5	103
多治見	66	81.5	123	162.5	132	182	144.5	113	350.5	171.5	86.5	104
上石津	116	109.5	0	246	209.5	350	212.5	79	383	147.5	101.5	108.5
栃尾	117	110	83.5	157	106.5	171.5	176	168.5	377.5	154	119.5	166
宮地	92	149.5	95.5	228.5	201.5	235.5	262.5	370.5	545.5	223	143.5	208.5
長滝	196	173	97.5	334	236	281	232.5	184.5	513	203	130	219
揖斐川	93	105.5	108.5	367.5	320	341	203.5	54.5	460.5	219.5	111.5	113.5
六厩	158.5	177.5	68	329	165	258	104	116.5	464	209	136	186.5
白川	257	169.5	69.5	206	79	141.5	165	98.5	346.5	105.5	113	254
